date,offpeak_kwh,peak_kwh,total_kwh,peak_avg_kw
2025/10/31,4486.48,1161.44,5647.92,232.288
2025/11/02,4816.4,1187.44,6003.84,237.488
2025/11/03,4543.76,1151.36,5695.12,230.272
2025/11/04,4643.52,1242.8,5886.320000000001,248.56
2025/11/05,4817.6,1219.92,6037.52,243.984
2025/11/07,4873.6,1303.68,6177.280000000001,260.736
2025/11/08,4875.52,1329.44,6204.960000000001,265.88800000000003
2025/11/09,5039.76,1346.4,6386.16,269.28000000000003
2025/11/10,5120.24,1332.0,6452.24,266.4
2025/11/11,4906.64,1231.92,6138.56,246.38400000000001
2025/11/12,4930.24,1293.6,6223.84,258.71999999999997
2025/11/13,4956.08,1234.48,6190.5599999999995,246.89600000000002
2025/11/14,4708.0,1152.24,5860.24,230.448
2025/11/15,4694.4,1150.8,5845.2,230.16
2025/11/16,4795.28,1181.52,5976.799999999999,236.304
2025/11/18,4906.56,1186.0,6092.56,237.2
2025/11/23,5143.84,1228.32,6372.16,245.664
2025/11/24,5035.76,1107.04,6142.8,221.408
2025/11/25,4513.12,1167.84,5680.96,233.56799999999998
2025/11/26,4518.96,1133.6,5652.5599999999995,226.71999999999997
2025/11/28,4526.0,1075.04,5601.04,215.00799999999998
2025/11/29,4615.04,1087.28,5702.32,217.456
